City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
279,Ugoofaaru,MV,83.53,scattered clouds,5.6667,73.0,Ungoofaaru Inn
282,Ozu,JP,77.18,broken clouds,33.5,132.55,HOTEL FOREST
286,Monrovia,LR,79.14,moderate rain,6.3005,-10.7969,Sunset Inn
287,Finschhafen,PG,81.88,broken clouds,-6.6024,147.8681,Cossam Guest House
288,Acapulco,MX,82.2,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
297,Tabou,CI,79.84,light rain,4.423,-7.3528,hotêl doufoulougou
299,High Rock,BS,78.82,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
300,Puerto Escondido,MX,82.8,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
301,Hirado,JP,79.95,broken clouds,33.3597,129.5531,Samson Hotel
304,Baiao,BR,75.38,overcast clouds,-2.7906,-49.6717,Hotel Eurosono
317,Dali,CN,78.66,broken clouds,25.7,100.1833,Dali Travelling With Hostel
320,Souillac,MU,78.37,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
321,Chengde,CN,78.66,few clouds,40.9725,117.9361,Super 8 Hotel
325,Bowen,AU,75.42,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
326,Port-Gentil,GA,78.96,overcast clouds,-0.7193,8.7815,Fengshui Residence
334,Tual,ID,81.72,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
335,Morant Bay,JM,80.22,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
337,Laguna,US,75.04,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
338,Kudahuvadhoo,MV,83.62,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
340,Aswan,EG,88.86,overcast clouds,24.0934,32.907,Nuba Nile
345,Bandarbeyla,SO,84.16,clear sky,9.4942,50.8122,JABIR HOTEL
346,Tautira,PF,80.62,scattered clouds,-17.7333,-149.15,Pension Oaoa
348,Natal,BR,75.85,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
351,Oytal,KZ,82.02,broken clouds,42.9057,73.2697,Sanatorium Ak-Niet
353,Garissa,KE,76.8,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
360,Santa Cruz Del Sur,CU,76.68,moderate rain,20.7147,-77.9956,
368,Buala,SB,80.85,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
376,Road Town,VG,81.19,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
384,Oranjestad,AW,80.55,few clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
386,Marsh Harbour,BS,77.56,clear sky,26.5412,-77.0636,Abaco Beach Resort
388,Hervey Bay,AU,75.04,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
392,Kouroussa,GN,76.24,broken clouds,10.65,-9.8833,Hotel Paillote
394,Lagdo,CM,78.73,broken clouds,9.05,13.7333,
396,Dickinson,US,79.12,clear sky,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
401,Banda Aceh,ID,85.96,overcast clouds,5.5577,95.3222,Sulthan Hotel International
407,Jieshi,CN,86.86,light rain,22.8134,115.8257,Yuehai Hotel
409,Beboto,TD,76.69,broken clouds,8.2668,16.939,
413,Muroto,JP,75.24,broken clouds,33.2833,134.15,Oota Ryokan
417,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
418,Vila Velha,BR,75.15,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
422,Mitsamiouli,KM,79.11,light rain,-11.3847,43.2844,Foyer ADM
423,Uttarkashi,IN,85.17,clear sky,30.7333,78.45,Anand Ganga
424,Kuryk,KZ,78.8,few clouds,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
426,Yendi,GH,79.09,clear sky,9.4427,-0.0099,Eyarro Lodge
427,Xiamen,CN,75.25,light rain,24.4798,118.0819,Xiamen Dongchen Hotel
429,Quatre Cocos,MU,78.1,broken clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
430,Hambantota,LK,89.94,few clouds,6.1241,81.1185,Bungalow 63
432,Mana,GF,76.68,overcast clouds,5.6592,-53.7767,LE SAMANA
437,Kidal,ML,88.75,overcast clouds,18.4411,1.4078,
439,Kirakira,SB,79.14,light rain,-10.4544,161.9205,SanBiz Lodge
444,Ferkessedougou,CI,77.13,overcast clouds,9.6,-5.2,Hotel Chateau
447,Hanzhong,CN,85.05,overcast clouds,33.0728,107.0303,Guorui Hotel
449,Salina Cruz,MX,81.59,clear sky,16.1667,-95.2,Amerik HOTEL
454,Baft,IR,76.1,clear sky,29.234,56.6057,بافت خیابان طالقانی غربی ساختمان مادر
457,Makakilo City,US,79.12,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
458,Tessalit,ML,87.19,broken clouds,20.1986,1.0114,
460,Orocue,CO,75.31,light rain,4.7912,-71.3354,Hotel Brisas de San Miguel
462,Lorengau,PG,83.57,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
463,Oarai,JP,75.65,broken clouds,36.3167,140.6,Oarai Hotel
475,Samarai,PG,79.0,overcast clouds,-10.6167,150.6667,Nuli Sapi
479,Aksu,CN,86.77,clear sky,41.1231,80.2644,Pudong Holiday Hotel
480,Saint-Pierre,RE,76.64,clear sky,-21.3393,55.4781,Lindsey Hôtel
481,Ekibastuz,KZ,75.99,clear sky,51.6667,75.3667,
482,Dangtu,CN,86.05,few clouds,31.5723,118.4928,City Bianjie Hotel Maanshan Dangtu
486,Jesup,US,76.69,clear sky,31.6074,-81.8854,Western Motel
487,Lumphat,KH,87.89,overcast clouds,13.4878,106.9816,Lumphat Homestay
488,Kutum,SD,79.52,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
489,Sawakin,SD,86.4,scattered clouds,19.1059,37.3321,فندق الدويم
491,Ginda,IN,78.69,clear sky,30.6945,78.4932,Bal uma sankar hotel and restaurant
492,Emerald,AU,75.34,few clouds,-23.5333,148.1667,The Irish Village
494,Arlit,NE,81.64,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
495,Baragaon,IN,80.58,overcast clouds,25.4333,82.8167,hotel uttam chan basera
497,Belmonte,BR,75.7,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
500,Shiyan,CN,89.51,broken clouds,32.6475,110.7781,Fenghuang Garden Holiday Hotel
503,Kieta,PG,81.61,light rain,-6.2167,155.6333,Uruna Bay Retreat
504,Atar,MR,84.13,overcast clouds,20.5169,-13.0499,Oumou Elghoura
506,Bonthe,SL,79.72,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
511,Port Blair,IN,84.24,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
513,Kontagora,NG,77.58,broken clouds,10.3999,5.4695,Queens Guest Inn
515,Kvarkeno,RU,80.6,few clouds,52.0833,59.725,"Ooo ""Kvarkeno"""
516,Anloga,GH,80.82,broken clouds,5.7947,0.8973,Pin Drop Hotel
524,Kurayoshi,JP,75.02,clear sky,35.4333,133.8167,Hotel Ark 21
527,Alamogordo,US,79.95,clear sky,32.8995,-105.9603,Fairfield Inn & Suites by Marriott Alamogordo
528,Hasaki,JP,75.6,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
529,Edgewater,US,78.01,scattered clouds,28.9889,-80.9023,Islander Beach Resort
530,Daru,PG,80.38,broken clouds,-9.0763,143.2092,Daru Lodge
531,Effium,NG,75.56,overcast clouds,6.6292,8.0593,
532,Prachuap Khiri Khan,TH,86.31,broken clouds,12.2167,99.75,สมบัติยาย
533,Jibuti,DJ,83.62,clear sky,11.5,42.5,Orchid Main Camp Goubet
537,Sainte-Marie,RE,77.13,clear sky,-20.8968,55.5496,Les pailles en queue de Sainte Marie
541,Soe,ID,81.19,broken clouds,-9.8607,124.28399999999999,Dena Hotel
542,Irtyshskiy,RU,77.7,broken clouds,58.3333,68.1333,
550,Abu Zabad,SD,87.6,clear sky,12.35,29.25,حامد محمد نور
551,Katsuura,JP,77.04,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
553,Korla,CN,83.61,scattered clouds,41.7597,86.1469,Gulisitan Hotel
554,Porto Novo,BJ,79.45,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
556,Oyama,JP,80.82,broken clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
564,Haapiti,PF,80.33,scattered clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
569,Keti Bandar,PK,87.58,scattered clouds,24.1447,67.4497,Haji laloo memon house
570,San Andres,CO,82.42,few clouds,12.5847,-81.7006,Hotel Arena Blanca
572,Kulhudhuffushi,MV,83.28,broken clouds,6.6221,73.07,Haajy Guest House 1
577,Shahreza,IR,79.93,clear sky,32.0339,51.8794,خوابگاه
578,Winneba,GH,82.87,broken clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
580,Kiunga,PG,84.18,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
582,Waingapu,ID,83.55,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
583,Tambilil,PH,85.89,overcast clouds,5.9622,124.6697,Wilfredo Sotto Home
584,Matamoros,MX,82.11,scattered clouds,25.5333,-103.25,Quinta Belem
586,Atbasar,KZ,76.59,overcast clouds,51.8,68.3333,"The Ritz-Carlton, Astana"
588,Jimeta,NG,80.19,scattered clouds,9.2833,12.4667,Yola International Hotel
591,Houma,US,77.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
595,Paka,MY,89.53,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA
597,Marzuq,YE,86.0,clear sky,14.4,46.4667,
602,Bilma,NE,84.2,clear sky,18.6853,12.9164,Expeditions Ténére voyages
603,Champerico,GT,81.36,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
604,Nieuw Amsterdam,SR,77.02,overcast clouds,5.8833,-55.0833,Globe Hotel
605,Along,IN,79.07,overcast clouds,28.1667,94.7667,Hotel West
608,Boa Vista,BR,76.98,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
612,Batticaloa,LK,85.98,overcast clouds,7.7102,81.6924,Grand Star Guest House
613,Porto De Moz,BR,75.58,overcast clouds,-1.7483,-52.2383,Dormitório labelle
620,Shingu,JP,79.79,overcast clouds,33.7333,135.9833,Shingu UI Hotel
626,Pemangkat,ID,85.86,few clouds,1.1667,108.9667,Ramah Kost KITA
636,Luba,GQ,76.89,light rain,3.4568,8.5547,
642,Polewali,ID,86.18,overcast clouds,-3.4324,119.3435,Lilianto Hotel
643,Kupang,ID,88.38,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
645,Urumqi,CN,77.95,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
647,Labuhan,ID,86.86,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
651,Sinjar,IQ,78.28,clear sky,36.3209,41.8754,زوماني فون 1
652,Filingue,NE,84.87,few clouds,14.3521,3.3168,
653,Segou,ML,89.46,broken clouds,13.4317,-6.2157,Comme chez soi
654,Shunyi,CN,81.84,clear sky,40.125,116.6453,Beijing Mingchen Holiday Hotel
656,Namakkal,IN,88.99,scattered clouds,11.2213,78.1652,OYO 60703 Hotel Sree Savana Bhavan Deluxe
658,Catuday,PH,85.1,light rain,16.2923,119.8062,GResort
664,Conakry,GN,78.87,broken clouds,9.538,-13.6773,Riviera Royal Hotel
668,Pochutla,MX,77.83,few clouds,15.7432,-96.4661,Hotel Posada San Jose
670,Pizarro,CO,76.44,moderate rain,4.9533,-77.366,Hotel Limonar
673,Le Port,RE,76.96,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
674,Tiarei,PF,80.62,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
675,Xuanhua,CN,78.17,clear sky,40.6103,115.0447,Jinjiang Inn Zhangjiakou Xuanhua People's Park
679,Azatavan,AM,78.26,clear sky,39.9832,44.5053,
683,Kapoeta,SS,79.95,few clouds,4.7717,33.5903,Eastgate Hotel
684,Auki,SB,80.28,overcast clouds,-8.7676,160.7034,Auki Motel
689,Mulege,MX,76.55,broken clouds,26.8833,-111.9833,Casa Granada
698,Celestun,MX,79.16,clear sky,20.8667,-90.4,Posada Lilia
702,Rikitea,PF,76.23,light rain,-23.1203,-134.9692,Pension Maro'i
705,Arraial Do Cabo,BR,75.07,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
713,Butaritari,KI,83.19,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
717,Nabire,ID,88.12,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
725,Bambous Virieux,MU,78.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
729,Hilo,US,79.29,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
730,The Valley,AI,80.46,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
736,Touros,BR,76.1,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
737,Mahebourg,MU,78.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
740,Bengkulu,ID,84.0,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
745,El Jicaro,GT,77.18,overcast clouds,14.9167,-89.9,Auto Hotel Refugio de Don Pepe
748,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
758,Kavieng,PG,84.36,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
759,Khonsa,IN,77.22,few clouds,27.0167,95.5667,
760,Saint-Philippe,RE,76.55,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
761,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
766,Contamana,PE,78.08,overcast clouds,-7.3333,-75.0167,Shiringal Touristic Park
769,Faanui,PF,80.53,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
771,Alofi,NU,80.49,light rain,-19.0595,-169.9187,Taloa Heights
772,Mamlyutka,KZ,75.22,broken clouds,54.9375,68.5394,
773,Tres Palos,MX,75.15,broken clouds,18.1833,-101.6167,
777,Bontang,ID,88.02,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
782,Rio Brilhante,BR,75.88,overcast clouds,-21.8019,-54.5464,Hotel Cattani
784,Abu Dhabi,AE,87.91,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
785,Marabba,SD,89.62,clear sky,12.35,32.1833,
788,Grand Baie,MU,78.46,few clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
800,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
807,Luanda,AO,77.0,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
813,Tateyama,JP,77.14,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
815,Xacmaz,AZ,77.85,broken clouds,41.4635,48.806000000000004,SAHİL HOTEL
816,Havelock,US,75.94,light rain,34.8791,-76.9013,Sherwood Motel
817,Sabha,LY,86.11,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
819,Changping,CN,81.52,clear sky,40.2186,116.2197,Huachang Hotel
