City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,76.23,86,100,25.66,light rain
1,Srednekolymsk,RU,67.45,153.6833,64.29,26,35,12.68,scattered clouds
2,Albany,US,42.6001,-73.9662,48.15,83,100,0.38,overcast clouds
3,Arraial Do Cabo,BR,-22.9661,-42.0278,75.07,84,45,4.34,scattered clouds
4,Grindavik,IS,63.8424,-22.4338,48.15,100,90,28.83,heavy intensity rain
5,Maryville,US,35.7565,-83.9705,56.39,87,90,6.91,overcast clouds
6,Mar Del Plata,AR,-38.0023,-57.5575,44.13,73,0,11.01,clear sky
7,Bellevue,US,47.6104,-122.2007,63.18,56,1,3.2,clear sky
8,Ribeira Grande,PT,38.5167,-28.7,63.97,77,100,5.95,overcast clouds
9,Jamestown,US,42.097,-79.2353,49.71,92,90,1.01,light rain
10,Dikson,RU,73.5069,80.5464,29.8,82,81,6.46,broken clouds
11,Butaritari,KI,3.0707,172.7902,83.19,78,91,15.41,overcast clouds
12,Inongo,CD,-1.95,18.2667,71.96,85,97,3.58,overcast clouds
13,New Norfolk,AU,-42.7826,147.0587,55.92,52,3,1.95,clear sky
14,Khatanga,RU,71.9667,102.5,52.03,71,42,7.94,scattered clouds
15,Nabire,ID,-3.3667,135.4833,88.12,63,100,4.61,overcast clouds
16,Narsaq,GL,60.9167,-46.05,37.62,98,100,3.02,light rain
17,Busselton,AU,-33.65,115.3333,58.05,75,71,19.75,broken clouds
18,Ilulissat,GL,69.2167,-51.1,46.42,34,48,16.11,scattered clouds
19,Pisco,PE,-13.7,-76.2167,65.01,94,90,5.75,overcast clouds
20,Orel-Izumrud,RU,43.4583,39.9244,60.82,93,90,4.0,light rain
21,Namibe,AO,-15.1961,12.1522,72.68,57,34,6.44,scattered clouds
22,Bagdarin,RU,54.4333,113.6,54.27,32,85,11.14,overcast clouds
23,Bambous Virieux,MU,-20.3428,57.7575,78.22,94,75,9.17,broken clouds
24,Upernavik,GL,72.7868,-56.1549,30.74,95,100,15.97,overcast clouds
25,Cape Town,ZA,-33.9258,18.4232,55.11,91,0,5.06,clear sky
26,Hobart,AU,-42.8794,147.3294,56.26,65,75,1.01,broken clouds
27,Hilo,US,19.7297,-155.09,79.29,83,90,10.36,overcast clouds
28,The Valley,AI,18.217,-63.0578,80.46,72,22,19.33,few clouds
29,Puerto Ayora,EC,-0.7393,-90.3518,73.54,88,26,5.01,scattered clouds
30,Piet Retief,ZA,-27.0071,30.8132,41.43,53,10,2.93,clear sky
31,Port Elizabeth,ZA,-33.918,25.5701,55.09,94,20,4.61,light rain
32,Sullana,PE,-4.9039,-80.6853,69.91,75,34,9.17,scattered clouds
33,Oktyabrskiy,RU,54.4815,53.471,72.93,55,27,4.65,light rain
34,Touros,BR,-5.1989,-35.4608,76.1,86,44,11.81,scattered clouds
35,Mahebourg,MU,-20.4081,57.7,78.26,94,75,9.22,broken clouds
36,Klaksvik,FO,62.2266,-6.589,45.52,85,95,12.5,overcast clouds
37,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,82,90,15.95,overcast clouds
38,Bengkulu,ID,-3.8004,102.2655,84.0,67,99,4.72,overcast clouds
39,Shenjiamen,CN,29.9576,122.298,70.7,85,65,12.1,broken clouds
40,Barrow,US,71.2906,-156.7887,30.22,86,90,10.36,overcast clouds
41,Brigantine,US,39.4101,-74.3646,52.02,94,90,24.85,overcast clouds
42,Mataura,NZ,-46.1927,168.8643,49.48,97,100,5.97,overcast clouds
43,El Jicaro,GT,14.9167,-89.9,77.18,90,97,2.91,overcast clouds
44,Launceston,AU,-41.45,147.1667,55.15,60,5,1.01,clear sky
45,Hachinohe,JP,40.5,141.5,64.94,57,60,14.47,broken clouds
46,Kapaa,US,22.0752,-159.319,80.58,70,40,6.06,scattered clouds
47,Verkhnyaya Balkariya,RU,43.1279,43.4573,54.52,94,86,3.78,overcast clouds
48,Tazmalt,DZ,36.3868,4.3989,64.67,81,95,0.76,overcast clouds
49,Yellowknife,CA,62.456,-114.3525,46.92,53,75,5.75,broken clouds
50,Ponta Do Sol,PT,32.6667,-17.1,68.0,76,61,6.4,broken clouds
51,Williamsburg,US,37.2707,-76.7075,58.84,93,75,0.0,heavy intensity rain
52,Ostrovnoy,RU,68.0531,39.5131,38.68,71,82,14.79,broken clouds
53,Hermanus,ZA,-34.4187,19.2345,54.9,80,93,4.29,overcast clouds
54,Passo De Camaragibe,BR,-9.2368,-35.4901,72.95,94,73,1.61,broken clouds
55,Cidreira,BR,-30.1811,-50.2056,53.87,70,11,9.62,few clouds
56,Kavieng,PG,-2.5744,150.7967,84.36,74,93,11.65,overcast clouds
57,Khonsa,IN,27.0167,95.5667,77.22,76,14,3.98,few clouds
58,Saint-Philippe,RE,-21.3585,55.7679,76.55,75,1,7.16,clear sky
59,Kahului,US,20.8947,-156.47,82.42,75,40,4.61,scattered clouds
60,Faya,SA,18.3851,42.4509,68.52,30,16,3.47,few clouds
61,Sisimiut,GL,66.9395,-53.6735,37.71,71,18,5.03,few clouds
62,Severo-Kurilsk,RU,50.6789,156.125,41.47,90,100,10.87,overcast clouds
63,Punta Arenas,CL,-53.15,-70.9167,32.11,74,40,11.86,scattered clouds
64,Contamana,PE,-7.3333,-75.0167,78.08,70,87,0.49,overcast clouds
65,Kiruna,SE,67.8557,20.2251,41.92,70,28,4.61,scattered clouds
66,Ushuaia,AR,-54.8,-68.3,23.52,96,96,3.76,overcast clouds
